שעת_כניסה,שעת_יציאה,מספר_תעודת_זהות,שם_מלא,URGENCY,שם_תחנה,משאב,זמן_בתחנה,המתנה_בתחנה,המתנה_מצטברת
08:01,08:06,9000003001,צח בן חמו,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,5,0,0
08:04,08:09,9000003002,אסף קדם,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,5,0,0
08:06,08:25,9000003001,צח בן חמו,EXCEPTION_URGENT,רופא,רופא,19,0,0
08:09,08:30,9000003002,אסף קדם,EXCEPTION_URGENT,רופא,רופא,21,0,0
08:09,08:55,9000003003,דור מלכה,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,46,0,0
08:13,09:02,9000003004,קרן ברק,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,49,0,0
08:25,08:38,9000003001,צח בן חמו,EXCEPTION_URGENT,אחות,אחות,13,0,0
08:30,08:41,9000003002,אסף קדם,EXCEPTION_URGENT,אחות,אחות,11,0,0
08:38,08:53,9000003001,צח בן חמו,EXCEPTION_URGENT,מעבדה,מעבדה,15,0,0
08:53,09:12,9000003001,צח בן חמו,EXCEPTION_URGENT,רופא (מעקב),רופא,19,0,0
08:53,09:15,9000003002,אסף קדם,EXCEPTION_URGENT,מעבדה,מעבדה,22,12,12
08:55,09:14,9000003003,דור מלכה,INTAKE_NON_URGENT,רופא,רופא,19,0,0
08:55,08:58,9000003005,עידו וקנין,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,3,38,38
08:58,09:04,9000003006,נויה גרוס,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,6,36,36
09:02,09:23,9000003004,קרן ברק,INTAKE_NON_URGENT,רופא,רופא,21,0,0
09:02,09:59,9000003007,מיכל דגן,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,57,36,36
09:04,09:10,9000003008,שקד ברזילי,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,6,36,36
09:10,09:18,9000003009,יעל נוי,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,8,9,9
09:12,09:13,9000003001,צח בן חמו,EXCEPTION_URGENT,יציאה (הביתה),-,1,0,0
09:12,09:34,9000003006,נויה גרוס,EXCEPTION_URGENT,רופא,רופא,22,8,44
09:14,09:23,9000003003,דור מלכה,INTAKE_NON_URGENT,אולטרסאונד,אולטרסאונד,9,0,0
09:15,09:38,9000003002,אסף קדם,EXCEPTION_URGENT,רופא (מעקב),רופא,23,0,12
09:15,09:38,9000003005,עידו וקנין,PERIOD_URGENT,מעבדה,מעבדה,23,17,55
09:18,09:24,9000003010,עומרי כץ,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,6,14,14
09:23,09:39,9000003003,דור מלכה,INTAKE_NON_URGENT,אחות,אחות,16,0,0
09:23,09:32,9000003004,קרן ברק,INTAKE_NON_URGENT,אולטרסאונד,אולטרסאונד,9,0,0
09:23,09:48,9000003009,יעל נוי,EXCEPTION_URGENT,רופא,רופא,25,5,14
09:24,10:13,9000003011,נדב אור,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,49,17,17
09:32,09:41,9000003004,קרן ברק,INTAKE_NON_URGENT,אחות,אחות,9,0,0
09:34,09:41,9000003006,נויה גרוס,EXCEPTION_URGENT,אחות,אחות,7,0,44
09:38,09:46,9000003002,אסף קדם,EXCEPTION_URGENT,אחות (חוזר),אחות,8,0,12
09:38,09:44,9000003005,עידו וקנין,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,6,0,55
09:38,09:56,9000003008,שקד ברזילי,PERIOD_URGENT,מעבדה,מעבדה,18,28,64
09:39,10:06,9000003003,דור מלכה,INTAKE_NON_URGENT,פסיכולוג,פסיכולוג,27,0,0
09:44,10:08,9000003005,עידו וקנין,PERIOD_URGENT,רופא,רופא,24,0,55
09:46,10:10,9000003002,אסף קדם,EXCEPTION_URGENT,רופא (סיכום),רופא,24,0,12
09:48,10:03,9000003009,יעל נוי,EXCEPTION_URGENT,אחות,אחות,15,0,14
09:56,10:03,9000003008,שקד ברזילי,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,7,0,64
09:56,10:15,9000003010,עומרי כץ,PERIOD_URGENT,מעבדה,מעבדה,19,32,46
09:59,10:22,9000003007,מיכל דגן,INTAKE_NON_URGENT,רופא,רופא,23,0,36
09:59,10:53,9000003012,הילה סבן,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,54,48,48
10:06,10:34,9000003004,קרן ברק,INTAKE_NON_URGENT,פסיכולוג,פסיכולוג,28,25,25
10:08,10:24,9000003005,עידו וקנין,PERIOD_URGENT,אחות,אחות,16,0,55
10:08,10:29,9000003008,שקד ברזילי,PERIOD_URGENT,רופא,רופא,21,5,69
10:10,10:11,9000003002,אסף קדם,EXCEPTION_URGENT,יציאה (הביתה),-,1,0,12
10:10,10:38,9000003003,דור מלכה,INTAKE_NON_URGENT,רופא (מעקב),רופא,28,4,4
10:13,10:20,9000003013,תמר אלוני,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,7,60,60
10:15,10:26,9000003006,נויה גרוס,EXCEPTION_URGENT,מעבדה,מעבדה,11,34,78
10:15,10:21,9000003010,עומרי כץ,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,6,0,46
10:20,10:27,9000003014,רוני אדרי,INTAKE_NON_URGENT,עמדת מזכירות (חתימה),מזכירות,7,64,64
10:22,10:27,9000003007,מיכל דגן,INTAKE_NON_URGENT,אולטרסאונד,אולטרסאונד,5,0,36
10:22,10:40,9000003011,נדב אור,INTAKE_NON_URGENT,רופא,רופא,18,9,26
10:24,10:25,9000003005,עידו וקנין,PERIOD_URGENT,יציאה (הביתה),-,1,0,55
10:26,10:49,9000003009,יעל נוי,EXCEPTION_URGENT,מעבדה,מעבדה,23,23,37
10:27,10:36,9000003007,מיכל דגן,INTAKE_NON_URGENT,אחות,אחות,9,0,36
10:27,10:34,9000003015,שגיא פרידמן,INTAKE_NON_URGENT,עמדת מזכירות (חתימה),מזכירות,7,68,68
10:29,10:39,9000003008,שקד ברזילי,PERIOD_URGENT,אחות,אחות,10,0,69
10:29,10:54,9000003010,עומרי כץ,PERIOD_URGENT,רופא,רופא,25,8,54
10:34,10:40,9000003016,ורד לביא,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,6,72,72
