שעת_כניסה,שעת_יציאה,מספר_תעודת_זהות,שם_מלא,URGENCY,שם_תחנה,משאב,זמן_בתחנה,המתנה_בתחנה,המתנה_מצטברת
07:58,08:02,9000002001,הילה סבן,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,4,0,0
08:02,08:20,9000002001,הילה סבן,PERIOD_URGENT,מעבדה,מעבדה,18,0,0
08:12,08:18,9000002002,צח בן חמו,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,6,0,0
08:18,08:36,9000002002,צח בן חמו,EXCEPTION_URGENT,רופא,רופא,18,0,0
08:20,08:29,9000002001,הילה סבן,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,9,0,0
08:21,08:27,9000002003,ורד לביא,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,6,0,0
08:25,09:08,9000002004,עומרי כץ,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,43,0,0
08:27,08:50,9000002003,ורד לביא,EXCEPTION_URGENT,רופא,רופא,23,0,0
08:29,08:52,9000002001,הילה סבן,PERIOD_URGENT,רופא,רופא,23,0,0
08:36,08:49,9000002002,צח בן חמו,EXCEPTION_URGENT,אחות,אחות,13,0,0
08:36,09:19,9000002005,מיכל דגן,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,43,0,0
08:49,09:03,9000002002,צח בן חמו,EXCEPTION_URGENT,מעבדה,מעבדה,14,0,0
08:50,09:00,9000002003,ורד לביא,EXCEPTION_URGENT,אחות,אחות,10,0,0
08:52,09:05,9000002001,הילה סבן,PERIOD_URGENT,אחות,אחות,13,0,0
09:03,09:22,9000002002,צח בן חמו,EXCEPTION_URGENT,רופא (מעקב),רופא,19,0,0
09:03,09:14,9000002003,ורד לביא,EXCEPTION_URGENT,מעבדה,מעבדה,11,3,3
09:05,09:06,9000002001,הילה סבן,PERIOD_URGENT,יציאה (הביתה),-,1,0,0
09:08,09:24,9000002004,עומרי כץ,INTAKE_NON_URGENT,רופא,רופא,16,0,0
09:08,09:13,9000002006,ליהיא מור,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,5,25,25
09:13,10:01,9000002007,שקד ברזילי,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,48,19,19
09:14,09:39,9000002003,ורד לביא,EXCEPTION_URGENT,רופא (מעקב),רופא,25,0,3
09:14,09:30,9000002006,ליהיא מור,PERIOD_URGENT,מעבדה,מעבדה,16,1,26
09:19,10:03,9000002008,גל אשכנזי,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,44,17,17
09:22,09:23,9000002002,צח בן חמו,EXCEPTION_URGENT,יציאה (הביתה),-,1,0,0
09:22,09:40,9000002005,מיכל דגן,INTAKE_NON_URGENT,רופא,רופא,18,3,3
09:24,09:31,9000002004,עומרי כץ,INTAKE_NON_URGENT,אולטרסאונד,אולטרסאונד,7,0,0
09:31,09:38,9000002004,עומרי כץ,INTAKE_NON_URGENT,אחות,אחות,7,0,0
09:31,09:38,9000002006,ליהיא מור,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,7,1,27
09:38,10:04,9000002004,עומרי כץ,INTAKE_NON_URGENT,פסיכולוג,פסיכולוג,26,0,0
09:38,09:53,9000002006,ליהיא מור,PERIOD_URGENT,רופא,רופא,15,0,27
09:39,09:51,9000002003,ורד לביא,EXCEPTION_URGENT,אחות (חוזר),אחות,12,0,3
09:40,09:46,9000002005,מיכל דגן,INTAKE_NON_URGENT,אולטרסאונד,אולטרסאונד,6,0,3
09:46,09:53,9000002005,מיכל דגן,INTAKE_NON_URGENT,אחות,אחות,7,0,3
09:51,10:14,9000002003,ורד לביא,EXCEPTION_URGENT,רופא (סיכום),רופא,23,0,3
09:53,10:02,9000002006,ליהיא מור,PERIOD_URGENT,אחות,אחות,9,0,27
10:01,10:23,9000002007,שקד ברזילי,INTAKE_NON_URGENT,רופא,רופא,22,0,19
10:01,10:05,9000002009,ניצן פלד,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,4,46,46
10:02,10:03,9000002006,ליהיא מור,PERIOD_URGENT,יציאה (הביתה),-,1,0,27
10:03,10:28,9000002008,גל אשכנזי,INTAKE_NON_URGENT,רופא,רופא,25,0,17
10:03,10:06,9000002010,יונתן רז,INTAKE_NON_URGENT,עמדת מזכירות (חתימה),מזכירות,3,41,41
10:04,10:30,9000002005,מיכל דגן,INTAKE_NON_URGENT,פסיכולוג,פסיכולוג,26,11,14
10:05,10:18,9000002009,ניצן פלד,PERIOD_URGENT,מעבדה,מעבדה,13,0,46
10:05,10:09,9000002011,נויה גרוס,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,4,33,33
10:06,10:10,9000002012,אלה שוורץ,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,4,23,23
10:09,10:14,9000002013,דור מלכה,INTAKE_NON_URGENT,עמדת מזכירות (חתימה),מזכירות,5,22,22
10:10,10:14,9000002014,עומר צור,INTAKE_NON_URGENT,עמדת מזכירות (חתימה),מזכירות,4,12,12
10:14,10:15,9000002003,ורד לביא,EXCEPTION_URGENT,יציאה (הביתה),-,1,0,3
10:14,10:40,9000002004,עומרי כץ,INTAKE_NON_URGENT,רופא (מעקב),רופא,26,10,10
10:18,10:23,9000002009,ניצן פלד,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,5,0,46
