שעת_כניסה,שעת_יציאה,מספר_תעודת_זהות,שם_מלא,URGENCY,שם_תחנה,משאב,זמן_בתחנה,המתנה_בתחנה,המתנה_מצטברת
08:02,08:05,9000008001,קרן ברק,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,3,0,0
08:05,08:15,9000008001,קרן ברק,PERIOD_URGENT,מעבדה,מעבדה,10,0,0
08:05,08:10,9000008002,ניצן פלד,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,5,0,0
08:09,08:11,9000008003,מעיין עמר,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,2,0,0
08:10,08:23,9000008002,ניצן פלד,EXCEPTION_URGENT,רופא,רופא,13,0,0
08:11,08:27,9000008003,מעיין עמר,EXCEPTION_URGENT,רופא,רופא,16,0,0
08:13,08:51,9000008004,אלה שוורץ,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,38,0,0
08:15,08:21,9000008001,קרן ברק,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,6,0,0
08:17,08:20,9000008005,צח בן חמו,PERIOD_URGENT,עמדת מזכירות (חתימה),מזכירות,3,0,0
08:20,08:30,9000008005,צח בן חמו,PERIOD_URGENT,מעבדה,מעבדה,10,0,0
08:21,08:40,9000008001,קרן ברק,PERIOD_URGENT,רופא,רופא,19,0,0
08:21,08:26,9000008006,רוני אדרי,EXCEPTION_URGENT,עמדת מזכירות (חתימה),מזכירות,5,0,0
08:23,08:34,9000008002,ניצן פלד,EXCEPTION_URGENT,אחות,אחות,11,0,0
08:26,08:44,9000008006,רוני אדרי,EXCEPTION_URGENT,רופא,רופא,18,0,0
08:26,09:03,9000008007,נויה גרוס,INTAKE_NON_URGENT,עמדת מזכירות (פתיחת תיק),מזכירות,37,0,0
08:27,08:37,9000008003,מעיין עמר,EXCEPTION_URGENT,אחות,אחות,10,0,0
08:30,08:35,9000008005,צח בן חמו,PERIOD_URGENT,אולטרסאונד,אולטרסאונד,5,0,0
08:34,08:48,9000008002,ניצן פלד,EXCEPTION_URGENT,מעבדה,מעבדה,14,0,0
08:35,08:53,9000008005,צח בן חמו,PERIOD_URGENT,רופא,רופא,18,0,0
08:40,08:51,9000008001,קרן ברק,PERIOD_URGENT,אחות,אחות,11,0,0
08:44,08:53,9000008006,רוני אדרי,EXCEPTION_URGENT,אחות,אחות,9,0,0
08:48,09:03,9000008002,ניצן פלד,EXCEPTION_URGENT,רופא (מעקב),רופא,15,0,0
08:48,09:01,9000008003,מעיין עמר,EXCEPTION_URGENT,מעבדה,מעבדה,13,11,11
08:51,08:57,9000008001,קרן ברק,PERIOD_URGENT,אולטרסאונד (חוזר),אולטרסאונד,6,0,0
08:51,09:09,9000008004,אלה שוורץ,INTAKE_NON_URGENT,רופא,רופא,18,0,0
08:53,09:00,9000008005,צח בן חמו,PERIOD_URGENT,אחות,אחות,7,0,0
08:57,09:16,9000008001,קרן ברק,PERIOD_URGENT,רופא (סיכום),רופא,19,0,0
09:00,09:01,9000008005,צח בן חמו,PERIOD_URGENT,יציאה (הביתה),-,1,0,0
